t,mic_level_events,sys_level_events,mic_dropped,sys_dropped,status
1,0,0,0,0,waiting_permission
2,0,0,0,0,capturing
3,0,0,0,0,capturing
4,0,0,0,0,capturing
5,0,0,0,0,capturing
6,0,0,0,0,capturing
7,0,0,0,0,capturing
8,0,0,0,0,capturing
9,0,0,0,0,capturing
10,0,0,0,0,capturing
11,0,0,0,0,capturing
12,0,0,0,0,capturing
13,0,0,0,0,capturing
14,0,0,0,0,capturing
15,0,0,0,0,capturing
16,0,0,0,0,capturing
17,0,0,0,0,capturing
18,0,0,0,0,capturing
19,0,0,0,0,capturing
20,0,0,0,0,capturing
21,0,0,0,0,capturing
22,0,0,0,0,capturing
23,0,0,0,0,capturing
24,0,0,0,0,capturing
25,0,0,0,0,capturing
