t,mic_level_events,sys_level_events,mic_dropped,sys_dropped,status
1,0,0,0,0,waiting_permission
2,0,0,0,0,waiting_permission
3,0,0,0,0,waiting_permission
4,0,0,0,0,waiting_permission
5,0,0,0,0,waiting_permission
6,0,0,0,0,waiting_permission
7,0,0,0,0,waiting_permission
8,0,0,0,0,waiting_permission
9,0,0,0,0,capturing
10,1,1,0,0,capturing
11,3,3,0,0,capturing
12,4,4,0,0,capturing
13,5,5,0,0,capturing
14,6,6,0,0,capturing
15,7,7,0,0,capturing
16,8,8,0,0,capturing
17,10,9,0,0,capturing
18,11,10,0,0,capturing
19,12,12,0,0,capturing
20,13,13,0,0,capturing
21,14,14,0,0,capturing
22,16,15,0,0,capturing
23,17,16,0,0,capturing
24,18,17,0,0,capturing
25,19,19,0,0,capturing
26,20,20,0,0,capturing
27,21,21,0,0,capturing
28,23,22,0,0,capturing
29,24,23,0,0,capturing
30,25,24,0,0,capturing
31,26,25,0,0,capturing
32,27,26,0,0,capturing
33,28,27,0,0,capturing
34,29,28,0,0,capturing
35,30,29,0,0,capturing
36,31,31,0,0,capturing
37,32,32,0,0,capturing
38,34,33,0,0,capturing
39,35,34,0,0,capturing
40,36,35,0,0,capturing
41,37,36,0,0,capturing
42,38,37,0,0,capturing
43,39,38,0,0,capturing
44,40,39,0,0,capturing
45,41,40,0,0,capturing
46,42,41,0,0,capturing
47,43,42,0,0,capturing
48,45,43,0,0,capturing
49,46,44,0,0,capturing
50,47,46,0,0,capturing
51,48,47,0,0,capturing
52,49,48,0,0,capturing
53,50,49,0,0,capturing
54,51,50,0,0,capturing
55,52,51,0,0,capturing
56,53,52,0,0,capturing
57,55,53,0,0,capturing
58,56,55,0,0,capturing
59,57,56,0,0,capturing
60,58,57,0,0,capturing
61,60,58,0,0,capturing
62,61,59,0,0,capturing
63,62,60,0,0,capturing
64,63,61,0,0,capturing
65,64,63,0,0,capturing
66,65,64,0,0,capturing
67,66,65,0,0,capturing
68,67,66,0,0,capturing
69,68,67,0,0,capturing
70,70,68,0,0,capturing
71,71,69,0,0,capturing
72,72,70,0,0,capturing
73,73,71,0,0,capturing
74,74,72,0,0,capturing
75,75,73,0,0,capturing
76,76,74,0,0,capturing
77,77,75,0,0,capturing
78,78,76,0,0,capturing
79,79,77,0,0,capturing
80,80,78,0,0,capturing
81,81,79,0,0,capturing
82,83,81,0,0,capturing
83,84,82,0,0,capturing
84,85,83,0,0,capturing
85,86,84,0,0,capturing
86,87,85,0,0,capturing
87,88,86,0,0,capturing
88,89,87,0,0,capturing
89,90,88,0,0,capturing
90,91,89,0,0,capturing
91,92,90,0,0,capturing
92,93,91,0,0,capturing
93,95,92,0,0,capturing
94,96,93,0,0,capturing
95,97,94,0,0,capturing
96,98,96,0,0,capturing
97,99,97,0,0,capturing
98,100,98,0,0,capturing
99,101,99,0,0,capturing
100,102,100,0,0,capturing
101,104,101,0,0,capturing
102,105,102,0,0,capturing
103,106,103,0,0,capturing
104,107,104,0,0,capturing
105,108,105,0,0,capturing
106,109,106,0,0,capturing
107,110,108,0,0,capturing
108,111,109,0,0,capturing
109,112,110,0,0,capturing
110,113,111,0,0,capturing
111,115,112,0,0,capturing
112,116,113,0,0,capturing
113,117,114,0,0,capturing
114,118,115,0,0,capturing
115,119,116,0,0,capturing
116,120,117,0,0,capturing
117,121,118,0,0,capturing
118,122,119,0,0,capturing
119,123,120,0,0,capturing
120,124,121,0,0,capturing
121,125,122,0,0,capturing
122,126,123,0,0,capturing
123,128,125,0,0,capturing
124,129,126,0,0,capturing
125,130,127,0,0,capturing
126,131,128,0,0,capturing
127,132,129,0,0,capturing
128,133,130,0,0,capturing
129,134,131,0,0,capturing
130,136,132,0,0,capturing
131,137,133,0,0,capturing
132,138,134,0,0,capturing
133,139,135,0,0,capturing
134,140,137,0,0,capturing
135,141,138,0,0,capturing
136,142,139,0,0,capturing
137,143,140,0,0,capturing
138,144,141,0,0,capturing
139,145,142,0,0,capturing
140,146,143,0,0,capturing
141,148,144,0,0,capturing
142,149,145,0,0,capturing
143,150,146,0,0,capturing
144,151,147,0,0,capturing
145,152,148,0,0,capturing
146,153,149,0,0,capturing
147,154,150,0,0,capturing
148,155,151,0,0,capturing
149,156,152,0,0,capturing
150,157,154,0,0,capturing
151,158,155,0,0,capturing
152,159,156,0,0,capturing
153,161,157,0,0,capturing
154,162,158,0,0,capturing
155,163,159,0,0,capturing
156,164,160,0,0,capturing
157,165,161,0,0,capturing
158,166,162,0,0,capturing
159,167,163,0,0,capturing
160,168,164,0,0,capturing
161,169,165,0,0,capturing
162,170,166,0,0,capturing
163,172,168,0,0,capturing
164,173,169,0,0,capturing
165,174,170,0,0,capturing
166,175,171,0,0,capturing
167,177,172,0,0,capturing
168,178,173,0,0,capturing
169,179,174,0,0,capturing
170,180,175,0,0,capturing
171,181,177,0,0,capturing
172,182,178,0,0,capturing
173,183,179,0,0,capturing
174,184,180,0,0,capturing
175,185,181,0,0,capturing
176,186,182,0,0,capturing
177,187,183,0,0,capturing
178,188,184,0,0,capturing
179,190,185,0,0,capturing
180,191,186,0,0,capturing
181,192,187,0,0,capturing
182,193,188,0,0,capturing
183,194,189,0,0,capturing
184,195,190,0,0,capturing
185,196,191,0,0,capturing
186,197,193,0,0,capturing
187,198,194,0,0,capturing
188,199,195,0,0,capturing
189,201,196,0,0,capturing
190,202,197,0,0,capturing
191,203,198,0,0,capturing
192,204,199,0,0,capturing
